Name,State,StartDate,EndDate
Australia Day,act,26/01/2021 0:00,27/01/2021 0:00
Canberra Day,act,8/03/2021 0:00,9/03/2021 0:00
Good Friday,act,2/04/2021 0:00,3/04/2021 0:00
Easter Saturday,act,3/04/2021 0:00,4/04/2021 0:00
Easter Sunday,act,4/04/2021 0:00,5/04/2021 0:00
Easter Monday,act,5/04/2021 0:00,6/04/2021 0:00
Anzac Day,act,26/04/2021 0:00,27/04/2021 0:00
Reconciliation Day,act,31/05/2021 0:00,1/06/2021 0:00
Queen's Birthday,act,14/06/2021 0:00,15/06/2021 0:00
Labour Day,act,4/10/2021 0:00,5/10/2021 0:00
Christmas Day ,act,25/12/2021 0:00,26/12/2021 0:00
Boxing Day,act,26/12/2021 0:00,27/12/2021 0:00
Christmas (additional day),act,27/12/2021 0:00,28/12/2021 0:00
Boxing Day (additional day),act,28/12/2021 0:00,29/12/2021 0:00
