Name,State,StartDate,EndDate
Australia Day,nt,26/01/2021 0:00,27/01/2021 0:00
Good Friday,nt,2/04/2021 0:00,3/04/2021 0:00
Easter Saturday,nt,3/04/2021 0:00,4/04/2021 0:00
Easter Monday,nt,5/04/2021 0:00,6/04/2021 0:00
Anzac Day,nt,26/04/2021 0:00,27/04/2021 0:00
May Day,nt,3/05/2021 0:00,4/05/2021 0:00
Queen's Birthday,nt,14/06/2021 0:00,15/06/2021 0:00
Picnic Day,nt,2/08/2021 0:00,3/08/2021 0:00
Christmas Eve 7pm - Midnight,nt,24/12/2021 0:00,25/12/2021 0:00
Christmas Day ,nt,25/12/2021 0:00,26/12/2021 0:00
Boxing Day,nt,26/12/2021 0:00,27/12/2021 0:00
Christmas (additional day),nt,27/12/2021 0:00,28/12/2021 0:00
Boxing Day (additional day),nt,28/12/2021 0:00,29/12/2021 0:00
New Year's Eve 7pm - Midnight,nt,31/12/2021 0:00,1/01/2021 0:00
