Holiday Name,State,StartDate,EndDatetime
New Year's Day,nt,1/01/2021 0:00,1/01/2021 23:45
Australia Day,nt,26/01/2021 0:00,26/01/2021 23:45
Good Friday,nt,2/04/2021 0:00,2/04/2021 23:45
Easter Saturday,nt,3/04/2021 0:00,3/04/2021 23:45
Easter Monday,nt,5/04/2021 0:00,5/04/2021 23:45
Anzac Day,nt,26/04/2021 0:00,26/04/2021 23:45
May Day,nt,3/05/2021 0:00,3/05/2021 23:45
Queen's Birthday,nt,14/06/2021 0:00,14/06/2021 23:45
Picnic Day,nt,2/08/2021 0:00,2/08/2021 23:45
Christmas Eve 7pm - Midnight,nt,24/12/2021 0:00,24/12/2021 23:45
Christmas Day ,nt,25/12/2021 0:00,25/12/2021 23:45
Boxing Day,nt,26/12/2021 0:00,26/12/2021 23:45
Christmas (additional day),nt,27/12/2021 0:00,27/12/2021 23:45
Boxing Day (additional day),nt,28/12/2021 0:00,28/12/2021 23:45
New Year's Eve 7pm - Midnight,nt,31/12/2021 0:00,31/12/2021 23:45
