Holiday Name,State,StartDate,EndDatetime
New Year's Day,qld,1/01/2021 0:00,1/01/2021 23:45
Australia Day,qld,26/01/2021 0:00,26/01/2021 23:45
Good Friday,qld,2/04/2021 0:00,2/04/2021 23:45
The Day after Good Friday,qld,3/04/2021 0:00,3/04/2021 23:45
Easter Sunday,qld,4/04/2021 0:00,4/04/2021 23:45
Easter Monday,qld,5/04/2021 0:00,5/04/2021 23:45
Anzac Day,qld,26/04/2021 0:00,26/04/2021 23:45
Labour Day,qld,3/05/2021 0:00,3/05/2021 23:45
Queen's Birthday,qld,4/10/2021 0:00,4/10/2021 23:45
Christmas Eve 6pm - Midnight,qld,24/12/2021 0:00,24/12/2021 23:45
Christmas Day ,qld,25/12/2021 0:00,25/12/2021 23:45
Boxing Day,qld,26/12/2021 0:00,26/12/2021 23:45
Christmas (additional day),qld,27/12/2021 0:00,27/12/2021 23:45
Boxing Day (additional day),qld,28/12/2021 0:00,28/12/2021 23:45
