Name,State,StartDate,EndDate
Australia Day,vic,26/01/2021 0:00,27/01/2021 0:00
Labour Day,vic,8/03/2021 0:00,9/03/2021 0:00
Good Friday,vic,2/04/2021 0:00,3/04/2021 0:00
Saturday before Easter Sunday,vic,3/04/2021 0:00,4/04/2021 0:00
Easter Sunday,vic,4/04/2021 0:00,5/04/2021 0:00
Easter Monday,vic,5/04/2021 0:00,6/04/2021 0:00
Anzac Day,vic,25/04/2021 0:00,26/04/2021 0:00
Queen's Birthday,vic,14/06/2021 0:00,15/06/2021 0:00
Friday before AFL Grand Final,vic,24/09/2021 0:00,25/09/2021 0:00
Melbourne Cup,vic,2/11/2021 0:00,3/11/2021 0:00
Christmas Day,vic,25/12/2021 0:00,26/12/2021 0:00
Boxing Day,vic,26/12/2021 0:00,27/12/2021 0:00
Christmas (additional day),vic,27/12/2021 0:00,28/12/2021 0:00
Boxing Day (additional day),vic,28/12/2021 0:00,29/12/2021 0:00
