Holiday Name,State,StartDate,EndDate
Australia Day,wa,26/01/2021 0:00,27/01/2021 0:00
Labour Day,wa,1/03/2021 0:00,2/03/2021 0:00
Good Friday,wa,2/04/2021 0:00,3/04/2021 0:00
Easter Monday,wa,5/04/2021 0:00,6/04/2021 0:00
Anzac Day,wa,25/04/2021 0:00,26/04/2021 0:00
Anzac Day (additional day),wa,26/04/2021 0:00,27/04/2021 0:00
Western Australia Day,wa,7/06/2021 0:00,8/06/2021 0:00
Queen's Birthday,wa,27/09/2021 0:00,28/09/2021 0:00
Christmas Day ,wa,25/12/2021 0:00,26/12/2021 0:00
Boxing Day,wa,26/12/2021 0:00,27/12/2021 0:00
Christmas (additional day),wa,27/12/2021 0:00,28/12/2021 0:00
Boxing Day (additional day),wa,28/12/2021 0:00,29/12/2021 0:00
