"DisplayName","UserPrincipalName","PhoneNumber"
"Teams Auto Attendant Resource Account 01","teams_aa_resource_01@onbmd.onmicrosoft.com","tel:+61730339561"
"Teams Auto Attendant Resource Account 02","teams_aa_resource_02@onbmd.onmicrosoft.com","tel:+61730339562"
"Dial by Name Auto Attendant - Teams Auto Attendant Resource Account 04","teams_aa_resource_04@onbmd.onmicrosoft.com","tel:+61730339564"
"Reception Auto Attendant - Teams Auto Attendant Resource Account 05","teams_aa_resource_05@onbmd.onmicrosoft.com","tel:+61730339565"
"Test Forward AA 10 - Teams Auto Attendant Resource Account 10","teams_aa_resource_10@onbmd.onmicrosoft.com","tel:+61730339570"
"Teams Call Queue Resource Account 01","teams_cq_resource_01@onbmd.onmicrosoft.com","tel:+61730339571"
"Teams Call Queue Resource Account 02","teams_cq_resource_02@onbmd.onmicrosoft.com","tel:+61730339572"
"Teams Call Queue Resource Account 03","teams_cq_resource_03@onbmd.onmicrosoft.com","tel:+61730339573"
"Teams Call Queue Resource Account 04","teams_cq_resource_04@onbmd.onmicrosoft.com","tel:+61730339574"
"Teams Call Queue Resource Account 05","teams_cq_resource_05@onbmd.onmicrosoft.com","tel:+61730339575"
