Name,State,StartDate,EndDate
Australia Day,nsw,26/01/2021 0:00,27/01/2021 0:00
Good Friday,nsw,2/04/2021 0:00,3/04/2021 0:00
Easter Saturday,nsw,3/04/2021 0:00,4/04/2021 0:00
Easter Sunday,nsw,4/04/2021 0:00,5/04/2021 0:00
Easter Monday,nsw,5/04/2021 0:00,6/04/2021 0:00
Anzac Day,nsw,25/04/2021 0:00,26/04/2021 0:00
Queen's Birthday,nsw,14/06/2021 0:00,15/06/2021 0:00
Bank Holiday,nsw,2/08/2021 0:00,3/08/2021 0:00
Labour Day,nsw,4/10/2021 0:00,5/10/2021 0:00
Christmas Day ,nsw,25/12/2021 0:00,26/12/2021 0:00
Boxing Day,nsw,26/12/2021 0:00,27/12/2021 0:00
Christmas (additional day),nsw,27/12/2021 0:00,28/12/2021 0:00
Boxing Day (additional day),nsw,28/12/2021 0:00,29/12/2021 0:00
