Name,State,StartDate,EndDate
Australia Day,sa,26/01/2021 0:00,27/01/2021 0:00
Adelaide Cup Day,sa,8/03/2021 0:00,9/03/2021 0:00
Good Friday,sa,2/04/2021 0:00,3/04/2021 0:00
Easter Saturday,sa,3/04/2021 0:00,4/04/2021 0:00
Easter Monday,sa,5/04/2021 0:00,6/04/2021 0:00
Anzac Day (additional day),sa,26/04/2021 0:00,27/04/2021 0:00
Queen's Birthday,sa,14/06/2021 0:00,15/06/2021 0:00
Labour Day,sa,4/10/2021 0:00,5/10/2021 0:00
Christmas Eve  7pm - Midnight,sa,24/12/2021 0:00,25/12/2021 0:00
Christmas Day ,sa,25/12/2021 0:00,26/12/2021 0:00
Boxing Day / Proclamation Day,sa,26/12/2021 0:00,27/12/2021 0:00
Christmas (additional day),sa,27/12/2021 0:00,28/12/2021 0:00
Boxing Day / Proclamation Day (additional day),sa,28/12/2021 0:00,29/12/2021 0:00
New Year's Eve 7pm - Midnight,sa,31/12/2021 0:00,1/01/2022 0:00
