Name,State,StartDate,EndDate
Australia Day,tas,26/01/2021 0:00,27/01/2021 0:00
Eight Hours Day,tas,8/03/2021 0:00,9/03/2021 0:00
Good Friday,tas,2/04/2021 0:00,3/04/2021 0:00
Easter Monday,tas,5/04/2021 0:00,6/04/2021 0:00
Easter Tuesday,tas,6/04/2021 0:00,7/04/2021 0:00
Anzac Day,tas,25/04/2021 0:00,26/04/2021 0:00
Queen's Birthday,tas,14/06/2021 0:00,15/06/2021 0:00
Christmas Day,tas,25/12/2021 0:00,26/12/2021 0:00
Boxing Day,tas,26/12/2021 0:00,27/12/2021 0:00
Christmas (additional day),tas,27/12/2021 0:00,28/12/2021 0:00
Boxing Day (additional day),tas,28/12/2021 0:00,29/12/2021 0:00
