Holiday Name,State,StartDate,EndDatetime
New Year's Day,sa,1/01/2021 0:00,1/01/2021 23:45
Australia Day,sa,26/01/2021 0:00,26/01/2021 23:45
Adelaide Cup Day,sa,8/03/2021 0:00,8/03/2021 23:45
Good Friday,sa,2/04/2021 0:00,2/04/2021 23:45
Easter Saturday,sa,3/04/2021 0:00,3/04/2021 23:45
Easter Monday,sa,5/04/2021 0:00,5/04/2021 23:45
Anzac Day (additional day),sa,26/04/2021 0:00,26/04/2021 23:45
Queen's Birthday,sa,14/06/2021 0:00,14/06/2021 23:45
Labour Day,sa,4/10/2021 0:00,4/10/2021 23:45
Christmas Eve  7pm - Midnight,sa,24/12/2021 0:00,24/12/2021 23:45
Christmas Day ,sa,25/12/2021 0:00,25/12/2021 23:45
Boxing Day / Proclamation Day,sa,26/12/2021 0:00,26/12/2021 23:45
Christmas (additional day),sa,27/12/2021 0:00,27/12/2021 23:45
Boxing Day / Proclamation Day (additional day),sa,28/12/2021 0:00,28/12/2021 23:45
New Year's Eve 7pm - Midnight,sa,31/12/2021 0:00,31/12/2021 23:45
