Holiday Name,State,StartDate,EndDatetime
New Year's Day,tas,1/01/2021 0:00,1/01/2021 23:45
Australia Day,tas,26/01/2021 0:00,26/01/2021 23:45
Eight Hours Day,tas,8/03/2021 0:00,8/03/2021 23:45
Good Friday,tas,2/04/2021 0:00,2/04/2021 23:45
Easter Monday,tas,5/04/2021 0:00,5/04/2021 23:45
Easter Tuesday,tas,6/04/2021 0:00,6/04/2021 23:45
Anzac Day,tas,25/04/2021 0:00,25/04/2021 23:45
Queen's Birthday,tas,14/06/2021 0:00,14/06/2021 23:45
Christmas Day,tas,25/12/2021 0:00,25/12/2021 23:45
Boxing Day,tas,26/12/2021 0:00,26/12/2021 23:45
Christmas (additional day),tas,27/12/2021 0:00,27/12/2021 23:45
Boxing Day (additional day),tas,28/12/2021 0:00,28/12/2021 23:45
