Holiday Name,State,StartDate,EndDatetime
New Year's Day,act,1/01/2021 0:00,01/01/2021 23:45
Australia Day,act,26/01/2021 0:00,26/01/2021 23:45
Canberra Day,act,8/03/2021 0:00,08/03/2021 23:45
Good Friday,act,2/04/2021 0:00,02/04/2021 23:45
Easter Saturday,act,3/04/2021 0:00,03/04/2021 23:45
Easter Sunday,act,4/04/2021 0:00,04/04/2021 23:45
Easter Monday,act,5/04/2021 0:00,05/04/2021 23:45
Anzac Day,act,26/04/2021 0:00,26/04/2021 23:45
Reconciliation Day,act,31/05/2021 0:00,31/05/2021 23:45
Queen's Birthday,act,14/06/2021 0:00,14/06/2021 23:45
Labour Day,act,4/10/2021 0:00,04/10/2021 23:45
Christmas Day ,act,25/12/2021 0:00,25/12/2021 23:45
Boxing Day,act,26/12/2021 0:00,26/12/2021 23:45
Christmas (additional day),act,27/12/2021 0:00,27/12/2021 23:45
Boxing Day (additional day),act,28/12/2021 0:00,28/12/2021 23:45
New Year's Day,nsw,1/01/2021 0:00,01/01/2021 23:45
Australia Day,nsw,26/01/2021 0:00,26/01/2021 23:45
Good Friday,nsw,2/04/2021 0:00,02/04/2021 23:45
Easter Saturday,nsw,3/04/2021 0:00,03/04/2021 23:45
Easter Sunday,nsw,4/04/2021 0:00,04/04/2021 23:45
Easter Monday,nsw,5/04/2021 0:00,05/04/2021 23:45
Anzac Day,nsw,25/04/2021 0:00,25/04/2021 23:45
Queen's Birthday,nsw,14/06/2021 0:00,14/06/2021 23:45
Bank Holiday,nsw,2/08/2021 0:00,02/08/2021 23:45
Labour Day,nsw,4/10/2021 0:00,04/10/2021 23:45
Christmas Day ,nsw,25/12/2021 0:00,25/12/2021 23:45
Boxing Day,nsw,26/12/2021 0:00,26/12/2021 23:45
Christmas (additional day),nsw,27/12/2021 0:00,27/12/2021 23:45
Boxing Day (additional day),nsw,28/12/2021 0:00,28/12/2021 23:45
New Year's Day,nt,1/01/2021 0:00,01/01/2021 23:45
