UPN,NEWNumber,CurrentNumber,International Call Barring,Outbound
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,No,DialoutCPCandPSTNInternational
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,No,DialoutCPCandPSTNInternational
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
,,,Yes,DialoutCPCandPSTNDomestic
